@relation features-weka.filters.unsupervised.instance.RemovePercentage-P15.0-weka.filters.unsupervised.instance.RemovePercentage-P15.0

@attribute xMean numeric
@attribute xStdDev numeric
@attribute xIntqr numeric
@attribute yMean numeric
@attribute yStdDev numeric
@attribute yIntqr numeric
@attribute zMean numeric
@attribute zStdDev numeric
@attribute zIntqr numeric
@attribute CorrXY numeric
@attribute CorrXZ numeric
@attribute CorrYZ numeric
@attribute timeStamp numeric
@attribute class {sitting,walking,standing,lying,'on table',running}

@data
-1.17745,0.072908,0.07845,-9.645167,0.057431,0.07845,1.117303,0.085992,0.11768,-0.079168,-0.085846,0.090747,1445414624446.000128,standing
-1.182812,0.09984,0.15691,-9.646605,0.057483,0.07845,1.086968,0.11673,0.15691,0.001503,-0.05093,0.124208,1445414630545.999872,standing
-1.167513,0.076534,0.07845,-9.634968,0.05732,0.07845,1.195495,0.092004,0.11768,-0.097068,-0.173834,0.200184,1445414636648,standing
-1.382475,0.228742,0.39226,-9.632745,0.092585,0.11768,-0.067993,1.024775,2.11823,-0.131308,0.666667,-0.200997,1445414642827.000064,standing
-1.519115,0.464211,0.19613,-9.603455,0.173127,0.147102,-0.958174,0.354961,0.235358,-0.201498,0.57107,-0.042368,1445414648886.000128,standing
-1.091545,0.300775,0.117675,-9.698907,0.12534,0.07846,0.195871,0.167011,0.11768,-0.095122,0.47601,0.251618,1445414654926.000128,standing
-0.959351,0.144661,0.196135,-9.706099,0.060693,0.11768,0.142262,0.20974,0.35304,-0.253691,-0.64862,0.159316,1445414661006.000128,standing
-0.787016,0.08007,0.078454,-9.71486,0.057269,0.07845,-0.238759,0.096185,0.11768,-0.122931,-0.071262,0.018537,1445414667167.000064,standing
-0.804538,0.092343,0.11768,-9.70793,0.056891,0.03923,-0.288969,0.090845,0.117679,-0.141012,-0.097601,0.055598,1445414673307.000064,standing
-0.968504,0.134747,0.156908,-9.702176,0.059719,0.07846,-0.074008,0.157694,0.186326,-0.254969,-0.572424,0.16254,1445414679447.000064,standing
-0.938038,0.116509,0.156905,-9.703353,0.054806,0.068653,0.221107,0.20416,0.353039,0.120516,0.20498,-0.033554,1445414685566.000128,standing
-0.932285,0.067892,0.078453,-9.705968,0.053572,0.03923,0.346502,0.074953,0.078453,0.100934,0.011798,0.118342,1445414691726.000128,standing
-0.945491,0.116068,0.078453,-9.705707,0.060336,0.03923,0.166844,0.253414,0.38246,0.018937,-0.201059,-0.096117,1445414697825.999872,standing
-0.917379,0.073057,0.11768,-9.707538,0.054765,0.03923,-0.069431,0.115118,0.11768,0.003981,-0.092593,-0.05742,1445414704126.000128,standing
-0.924963,0.064127,0.11768,-9.712506,0.05721,0.068645,0.058448,0.086769,0.11768,-0.023004,0.033537,0.023014,1445414710327.000064,standing
-0.940784,0.083441,0.078453,-9.705314,0.059888,0.07846,0.036873,0.111388,0.11768,-0.038018,-0.116112,-0.096049,1445414716387.000064,standing
-0.956606,0.072207,0.117678,-9.706491,0.054263,0.03923,0.193126,0.097236,0.11768,0.065918,-0.003586,0.029971,1445414722547.000064,standing
-0.990863,0.072441,0.078452,-9.718521,0.054622,0.07845,0.245166,0.07905,0.11768,0.093957,0.08223,-0.026817,1445414728727.000064,standing
-0.968897,0.062167,0.078452,-9.720221,0.059356,0.07845,0.216531,0.0792,0.11768,-0.099436,0.056651,-0.110257,1445414734928,standing
-0.934377,0.141019,0.11768,-9.718783,0.063305,0.07845,0.266349,0.123292,0.11768,-0.048976,-0.252083,-0.06256,1445414741047.000064,standing
-0.912672,0.117453,0.11768,-9.719959,0.055185,0.07845,0.353824,0.143149,0.11768,-0.098611,-0.162652,0.165299,1445414747167.000064,standing
-0.929539,0.087195,0.11768,-9.707276,0.052061,0.03923,0.38429,0.087349,0.107874,0.079884,0.221963,0.161301,1445414753347.000064,standing
-0.984718,0.068199,0.078452,-9.711852,0.059109,0.07845,0.339441,0.075168,0.11768,-0.051169,-0.018817,-0.132817,1445414759447.000064,standing
-0.985895,0.062484,0.078452,-9.704792,0.053597,0.07846,0.385205,0.071171,0.078454,-0.007889,0.077303,-0.092791,1445414765607.000064,standing
-1.012177,0.107064,0.156902,-9.702961,0.051872,0.03923,0.215354,0.196709,0.274586,-0.165827,0.195017,-0.007347,1445414771688,standing
-0.895804,0.505384,0.34323,-9.706622,0.184774,0.11768,0.413971,0.324203,0.392266,-0.251076,0.17331,-0.033103,1445414777828,standing
-0.902735,0.066756,0.078453,-9.695508,0.050506,0.07846,0.78244,0.072065,0.078454,0.029513,0.108886,0.076826,1445414783928,standing
-0.77721,0.309433,0.156906,-9.698254,0.060028,0.07846,0.730399,0.208071,0.156907,0.046343,0.085467,0.121554,1445414790088,standing
-0.535705,0.29609,0.196133,-9.694462,0.052428,0.07846,0.881421,0.153301,0.156906,0.002125,0.39654,-0.039231,1445414796287.000064,standing
-0.705556,0.063273,0.078453,-9.696031,0.051844,0.07846,0.825328,0.071144,0.078453,-0.014562,0.003247,0.011389,1445414802407.000064,standing
-0.723861,0.065605,0.11768,-9.686224,0.054139,0.07846,0.814606,0.070202,0.078453,0.087687,0.048345,0.08923,1445414808447.000064,standing
-0.744782,0.06903,0.078453,-9.695639,0.056228,0.07846,0.860239,0.079351,0.078453,-0.049485,-0.155695,-0.082553,1445414814588,standing
-2.233562,2.089575,2.922384,9.094424,3.116816,4.35417,-1.535982,2.469468,2.098623,-0.234251,-0.552898,-0.163637,1445420436385.999872,walking
-2.033115,1.991948,2.785084,9.255648,3.16638,4.618913,-1.821291,2.721064,2.137852,-0.186716,-0.584834,-0.174247,1445420442387.000064,walking
-1.988135,1.864592,2.775281,9.158103,2.940436,4.226705,-1.722701,2.589777,1.922101,-0.170089,-0.557766,-0.18337,1445420448446.000128,walking
-1.854764,2.017667,2.657597,9.260878,3.158843,4.530632,-1.645817,2.589401,1.873071,-0.139274,-0.545763,-0.208507,1445420454507.000064,walking
-1.690274,2.163736,3.402907,9.398561,3.265365,4.99161,-1.610382,2.598597,2.137849,-0.126903,-0.567222,-0.182151,1445420460548,walking
-1.461322,2.114785,2.961609,9.305202,3.429176,5.079865,-1.42118,2.600579,1.912295,-0.055349,-0.574806,-0.166967,1445420466606.000128,walking
-1.333051,1.997526,2.892963,9.391894,3.261722,5.050413,-1.829006,2.695836,2.157461,-0.031817,-0.617355,-0.26186,1445420472707.000064,walking
-1.421702,1.920528,2.834117,9.283367,3.196215,4.403208,-1.484073,2.629901,1.980943,-0.074227,-0.566724,-0.149962,1445420478766.000128,walking
-1.395159,2.012028,3.000836,9.485513,3.365075,5.060207,-1.454261,2.729623,2.23592,-0.026873,-0.615197,-0.180554,1445420484807.000064,walking
-1.191573,1.991338,3.138123,9.414777,3.436265,4.922912,-1.618228,2.788525,2.039787,0.003497,-0.614999,-0.206838,1445420490907.000064,walking
-1.328736,1.946693,2.824316,9.343514,3.281185,4.687608,-1.473089,2.594898,1.83384,-0.090142,-0.571211,-0.136821,1445420496985.999872,walking
-1.261658,2.146983,3.177356,9.548145,3.501036,5.04064,-1.425495,2.680234,2.0594,-0.023391,-0.558591,-0.173264,1445420503055.000064,walking
-1.075593,1.982647,2.736056,9.381171,3.410457,5.15827,-1.78651,2.76616,2.14766,0.007383,-0.603437,-0.235949,1445420509105.999872,walking
-1.208702,2.017594,2.883158,9.341292,3.192656,4.618983,-1.551412,2.670883,2.18688,-0.111458,-0.541404,-0.207132,1445420515167.000064,walking
-1.283886,2.092363,3.206773,9.506305,3.191024,4.452228,-1.572987,2.590927,2.069207,-0.084976,-0.617415,-0.173583,1445420521227.000064,walking
-1.180852,1.862071,2.932186,9.305726,3.204769,4.775845,-1.551543,2.595239,2.059398,-0.023418,-0.591071,-0.166611,1445420527307.000064,walking
-1.071671,2.016549,3.079287,9.516896,3.319846,5.099455,-1.732246,2.776236,2.265337,-0.00617,-0.595134,-0.200881,1445420533407.000064,walking
-1.231715,1.921628,2.824313,9.322072,3.162065,4.540505,-1.567364,2.646205,1.961327,-0.066276,-0.549487,-0.197203,1445420539430.000128,walking
-1.22557,1.999134,2.981219,9.486824,3.154787,4.62873,-1.524215,2.662178,1.922101,-0.108593,-0.553501,-0.143541,1445420545527.000064,walking
-1.112858,2.03243,2.902769,9.330045,3.570504,5.158295,-1.521992,2.706598,1.87307,-0.12184,-0.497492,-0.078424,1445420551585.999872,walking
-1.143717,1.908247,2.745866,9.383262,3.103286,4.618953,-1.75879,2.765528,2.186887,-0.080806,-0.572547,-0.156322,1445420557625.999872,walking
-1.197719,2.060682,3.295036,9.448772,3.693708,5.403495,-1.511793,2.649905,1.912297,0.009091,-0.58719,-0.236441,1445420563707.000064,walking
-1.165945,2.049177,3.216579,9.425235,3.788316,5.511322,-1.449553,2.742277,2.128041,-0.009826,-0.618982,-0.186709,1445420569807.000064,walking
-1.014923,2.108961,3.314647,9.484338,3.690084,5.285805,-1.716556,2.821696,2.049588,-0.001519,-0.621491,-0.219047,1445420575846.000128,walking
